headline,label,category
Overnight Las Vegas Attack Is Deadliest Mass Shooting In American History (DETAILS),1,News
Ryanair loses EU court battle to keep Irish law for crew abroad,0,worldnews
MSNBC’S JOY REID Gets a Huge Dose of KARMA from an Unlikely Source…Apologizes on Social Media,1,politics
Trump Knocks Clinton’s Mental Stamina But Can’t Even Remember What Day It Is,1,News
WATCH: Girl On Bike Brutally Beaten By Cops And Then SHE Is Charged With Assault,1,News
Trump to roll back use of climate change in policy reviews: source,0,politicsNews
(VIDEO) NEWS MEDIA STOOPS TO A SHOCKING ALL TIME LOW WITH THIS REPORT ON PUBLIC SEX ACT,1,left-news
RUSH LIMBAUGH Tells His Own Theory Of The Lynch/Clinton Meet Up,1,politics
"U.S. Congress to let Iran deadline pass, leave decision to Trump",0,politicsNews
"Home Depot, Lowe's ship emergency material to Florida ahead of hurricane",0,worldnews
MUSLIM DEMOCRAT WOMAN Is Asked How She Feels About Trump’s Presidency: “If Arab countries can ban Muslim Brotherhood why can’t we?”,1,politics
Trump Claims He Inherited All The Problems He Caused From Obama And Gets LIT UP by Twitter (TWEETS),1,News
EPA CHIEF: ‘CLIMATE DENIERS’ AREN’T NORMAL PEOPLE,1,Government News
Trump Fans Start Screaming ‘WIKILEAKS’ In PATHETIC Attempt To Link Trump’s ‘Assassin’ To Hillary,1,News
A kiss is not just a kiss on Cleveland convention billboards,0,politicsNews
Episode 3 – DRIVE BY WIRE: ‘Under New Management’ with Patrick & Shawn,1,US_News
OBAMA APPOINTED JUDGE Sides With Dems In Critical Swing State…Doesn’t Matter If Vote-by-Mail Ballot Signatures Don’t Match…Votes Still Count,1,politics
"LOL! HILLARY GETS AMBUSHED At Book Signing…”Where’s the 33,000 emails? What happened To Seth Rich?”",1,politics
West Virginia GOP Push Bill To Literally Give Conservative Christians Ability To Break The Law At Will,1,News
"Ted Cruz Gets Booed At CPAC With Many Walking Out, And It’s Pretty Damn Funny (VIDEO)",1,News
"Lawmakers briefed on reported DNC hack, seek information on any Russia link",0,politicsNews
SUNDAY SCREENING: The Deep State: Hiding in Plain Sight (2014),1,US_News
Indonesian parliament speaker again named suspect in massive graft case,0,worldnews
Qatar builds dairy industry in desert as it defies Arab boycott,0,worldnews
Joe Scarborough References ‘Failed’ Obama Presidency In AMAZINGLY Racist Terms (VIDEO),1,News
"Clinton, Trump clash over economy in final campaign stretch",0,politicsNews
Sacramento Police On The Hunt For Right-Wing Terrorists That Distributed These Racist Flyers,1,News
VIDEO SHOWS Stunning Damage To Streets Of Historic Hamburg After SOROS’ ANTI-CAPITALISM Cockroaches Cleared Out Of G20 [VIDEO],1,politics
Kerry says it's inappropriate for Trump to step into German politics,0,politicsNews
Giuliani’s Excuse For Forgetting 9/11 Is Just As Bad As Forgetting It (VIDEO),1,News
Aleppo Truth: Incredible Press Conference at the United Nations,1,US_News
Hungary's opposition Socialists lose PM candidate ahead of 2018 vote,0,worldnews
"Alabama Republican House Speaker Removed From Office, Convicted On Ethics Violations",1,News
Vietnam prosecutes bank officials in corruption crackdown,0,worldnews
Erdogan says Turkey seeking to annul Trump decision on Jerusalem at U.N.,0,worldnews
BUSTED! TRUMP LAWYER Nails Comey on a BIG LIE While Under Oath! [Video],1,politics
U.S. sees business as usual at ports of entry when travel ban starts,0,politicsNews
Pope Francis consulted psychoanalyst in 1970s: book,0,worldnews
"Liberal, Man-Hating Movement DESTROYS Career Of Top TX Lawyer For Posting #MeToo Letter From A Rape Survivor: “If everyone is a victim, no one is. Victim means nothing anymore”",1,politics
GOPer Who Resurrected Trumpcare Just Got WRECKED By A Father At Town Hall (VIDEO),1,News
"Obama hits campaign trail, says ready to 'pass baton' to Clinton",0,politicsNews
Tim Kaine Shows Trump DECENT Way To Respond After His Shameful Dwyane Wade Tweet (VIDEO),1,News
WATCH: FOX SPORTS RADIO HOST Nearly Shuts Down CNN Interview When He Offends Hypocritical Host With ONE Word,1,politics
U.S. judge questions states seeking to restore Obamacare payments,0,politicsNews
"Debates to help half of U.S. voters decide between Clinton, Trump: poll",0,politicsNews
White House says supports congressional review of Russian hacking,0,politicsNews
"JULIAN ASSANGE GETS EMOTIONAL Over His Family, Especially Young Children, During Exclusive Sean Hannity Interview [VIDEO]",1,politics
ONLY DAYS AFTER ANNOUNCING Shameless Money Grab…Clock Boy Explains Why He Wants To Come Back To Texas,1,left-news
"VALERIE JARRETT Discusses Possibility Of Michelle Obama’s Run For Office With MSNBC Media Ally, Says Trump’s Win Was”Gut-Wrenching” [VIDEO]",1,politics
U.S. makes $500 million grant to climate change fund: State Department,0,politicsNews
NYC BOMBER’S DAD Reveals Son’s Terrorist Attack Could Have Been Stopped If They’d Listened To Him…The FBI Clearly Missed That Narrative,1,politics
Polish president backs down in judicial reform spat,0,worldnews
"28 YR OLD REFUGEE Turned European Soccer Star, Accused Of RAPING 19 Yr Old And LYING About His Age",1,left-news
Newsweek Outs Trump As Putin’s Puppet And Our NATO Allies Are Terrified (VIDEO),1,News
BREAKING: 296 Hillary E-mails Just Released Exposing The “Bad Cop” At Hillary’s Side 24/7,1,politics
Hillary Wins Big In Tuesday Election Battle (VIDEO),1,News
"Trump, on possible DACA deal, says border wall would come later",0,politicsNews
Senators pledge aggressive Russia probe after meeting with U.S. Justice Department's No. 2,0,politicsNews
Mike Huckabee Thinks Poor Americans Benefit From Treating Them Like We ‘Train Dogs’ (VIDEO),1,News
BOYCOTT BACKFIRES! Ivanka Trump Clothing Line Reports Record Sales,1,politics
Brazilian billionaire Joesley Batista surrenders to police,0,worldnews
REPORT: Five-Year-Old Girl Is Detained And Separated From Mother At Airport Because Of Trump’s Muslim Ban,1,News
EU's Tusk proposes opening internal preparations of next phase of Brexit talks,0,worldnews
Watch What Happens When A Rapist Pedophile Tries To Panhandle In The Wrong Guy’s Town (NSFW VIDEO),1,News
U.S. farm heartland lobbies to steer Trump away from Mexico trade war,0,politicsNews
Gala glitz masks Asia's tensions as Trump winds up tour,0,politicsNews
VP Of Trump Transition Team To Dems: ‘Put Your Big Boy Pants On’ And Attend Inauguration (VIDEO),1,News
Top Senate Democrat Reid backs new gun control proposal,0,politicsNews
"MSNBC Tweets Terrifying Video Of Cop Being Dragged By Thug’s Car, Jokingly Asks If It Counts As A Police Chase?",1,politics
HILLARY CLINTON CRONYISM VIOLATES FEDERAL RULES: Chelsea’s “Best Friend” Given Millions In Contracts With The Feds…A New Low!,1,politics
ANTI-TRUMP THUGS Get Crazy But Anaheim Police Mean Business,1,politics
U.S. has room to fight any future downturn with spending: Furman,0,politicsNews
Major U.S. tech firms press Congress for internet surveillance reforms,0,politicsNews
NY PROFESSOR Who’s Correctly Chosen President For 100 Years Explains Why Trump Will Win,1,politics
George Clooney Has A VERY Specific Reason Why He’s Supporting Hillary (VIDEO),1,News
NEW WH COMMUNICATIONS DIRECTOR: I’ll Bring CNN a Box of Kleenex When Trump Wins in 2020 [VIDEO],1,politics
"Zionist Billionaire To Give $100 Million To Trump Campaign, In Return Wants Billions For Israel (VIDEO/TWEET)",1,News
"Obama Just Delivered His Most Scathing Rebuke Of Trumpcare Yet, And It’s Awesome (SCREENSHOTS)",1,News
Boiler Room #94 – President Trump & The Great Neo-Liberal Freakout of 2017,1,US_News
"No north-south Ireland border despite leaving customs union, British minister pledges",0,worldnews
Paul Krugman: Obama Rolled Back RONALD REAGAN’S Tax Cuts For The Rich,1,News
Republicans on Obamacare repeal: 'We're going to get it done',0,politicsNews
Trump orders review of financial rules to prevent future crises,0,politicsNews
MSNBC HOST Compares Getting Close to Trump to ‘Hugging a Suicide Bomber’ [Video],1,politics
U.S. pressed Saudis to ease Yemen blockade: sources,0,worldnews
South Dakota's governor vetoes loosening of concealed carry gun laws,0,politicsNews
THE HUNT IS ON: How Trump Team Is Smoking Out Leakers To Take Down And Punish,1,Government News
Republican Trump says 70 percent of federal regulations 'can go',0,politicsNews
"Ted Cruz Has ‘Religious Liberty’ Exactly Wrong, His Response To Georgia Veto Is Cringeworthy",1,News
SUNDAY SCREENING: Counter Intelligence – ‘The Company’,1,US_News
Armed force claims victory in Libyan migrant smuggling hub,0,worldnews
CHER HUMILIATES Democrats Over Childish Neil Gorsuch “Tantrums” In One BRUTAL Tweet,1,politics
Megyn Kelly Desperately Attempts To Rescue Kasich From His Sexist Comments (VIDEO),1,News
TRUMP SPOKESPERSON Hammers it Home On Trump’s Moratorium On Refugees [Video],1,politics
Black Family BLASTS Trump For Using Photo As ‘Propaganda’: We DON’T Support Him,1,News
Gwenyth Paltrow Can’t Understand Why She Was Named “MOST HATED CELEBRITY”,1,politics
WIKILEAKS ASSANGE NAILS Hillary’s Psychosis In Australian Interview In One Brilliant Tweet [Video],1,politics
Mexican army hit by execution finding as Senate mulls new military powers,0,worldnews
Sean Spicer Claims Hitler Never Gassed People In Outrageous Defense Of Syrian Bombing (VIDEO),1,News
Bernie ROASTS GOP Mental Instability During #DemDebate With PERFECT One-Liner (VIDEO),1,News
"COMEDIAN TIM ALLEN On Hollywood Hypocrites: They Didn’t Like Trump Because He Was A Bully…But If You Support Trump, You Get Bullied [VIDEO]",1,politics
Angola's opposition appeals election results,0,worldnews
Muslim Activist Caught Sending Donations to Left-Wing PAC by Disguising it as Hurricane Relief,1,politics
Factbox: Trump announces picks to fill two key healthcare posts,0,politicsNews
Trump’s Flip-Flop: Now He’s Complaining That Obama Deports Too Many People,1,News
CNN Publishes Inauguration Day Letter from Obama to Trump: ‘Keep International Order’,1,politics
U.S. lawmakers want to restrict internet surveillance on Americans,0,politicsNews
HILLARY LIES THROUGH HER TEETH: Defends Paying for Fake Trump Dossier During Campaign [video],1,politics
Republican candidate Cruz snares first Senate endorsement,0,politicsNews
BREAKING! Charlotte News Station Reports Cops Have Dash Cam Of #KeithScott Coming Toward Them With Gun In Hand,1,politics
Former Egypt interior minister Habib al-Adly arrested: security sources,0,worldnews
"Trump Meets With Russian Officials One Day After Firing Comey, Bars American Media From The Room",1,News
Big-money gamblers face new scrutiny at British Columbia casinos,0,worldnews
"U.S. governors, hackers, academics team up to secure elections",0,politicsNews
Republicans hold on to state legislative edge in U.S. election,0,politicsNews
MONEY TO “BERN!”…SOCIALIST BERNIE SANDERS Endorses Clinton…Buys THIRD Home On Lake For $600K Only 3 Weeks Later,1,politics
Clinton leads Trump by five points in White House race: Reuters/Ipsos,0,politicsNews
Embattled Alabama Republican Senate candidate ahead in CBS poll,0,politicsNews
OBAMA RELEASES TOP IRANIAN SCIENTIST…LEAVES 4 AMERICANS TO FEND FOR THEMSELVES IN IRANIAN PRISONS As Part Of Nuke Deal,1,Government News
Britain says chances of resolving Northern Ireland impasse 'not positive',0,worldnews
"As 2018 Obamacare deadline nears, U.S. states believe every county covered",0,politicsNews
PUTIN PUSHES His Own Reset Button With America In A Very Surprising Move,1,politics
FORMER MEXICAN PRESIDENT Tries To ‘Make Nice’ With Trump…TRUMP’S Response Is Awesome! [Video],1,politics
Dave Chappelle: ‘I F***ed Up’ When Asking To Give Trump A Chance (DETAILS),1,News
Factbox: U.S. industry wish list in Trump regulation overhaul,0,politicsNews
"Trump seeks border wall, crackdown on unaccompanied minors for 'Dreamer' deal",0,politicsNews
Schumer: delay tax overhaul vote until new Alabama senator seated,0,politicsNews
"Rescue ship says Libyan coast guard shot at and boarded it, seeking migrants",0,worldnews
"THE ROBBING OF INNOCENCE: 12 Yr Old Students Given CDC Survey About Transgender, Gay And Oral Sex",1,politics
